Field Identification,,,,Field Type,,,ICH,,Post-Market,,Pre-Market (IND and IND-exempt BA/BE),,VAERS,,,,,Type of Change,Q&A,Null Flag Applicable,,,,,,,,,Field OIDs,HL7 Data Type,,Xpath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,G.k.9.i.2.r,(Header),Assessment of Relatedness of Drug to Reaction(s) / Event(s) (repeat as necessary),,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,/MCCI_IN200100UV01[@ITSVersion='XML_1.0' ][@xsi:schemaLocation='urn:hl7-org:v3 MCCI_IN200100UV01.xsd']/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment][1]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][causalityAssessment[code[@code='39'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.19']][subject1[@typeCode='SUBJ']/adverseEffectReference[@classCode='OBS'][@moodCode='EVN']/id[@root='UUID of i-th reaction']][subject2[@typeCode='SUBJ']/productUseReference[@classCode='SBADM'][@moodCode='EVN']/id[@root='UUID of k-th drug']]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,G.k.9.i,G.k.9.i.2.r.1 ,Source of Assessment,60,AN,Free text  ,Optional,,-,-,Conditional-Required,"Default Source of Assessment (G.k.9.i.2.r.1 ) to ""Sponsor"" and Include Investigator Assessment in H.1

Required, if Element Value for Type of Report (C.1.3) is 2 (=Report from study) and IND Number where AE Occurred (FDA.C.5.5a) is provided
",,,,,,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,-,,,/MCCI_IN200100UV01[@ITSVersion='XML_1.0' ][@xsi:schemaLocation='urn:hl7-org:v3 MCCI_IN200100UV01.xsd']/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment][1]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][causalityAssessment/code[@code='39'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.19']][r]/causalityAssessment[@classCode='OBS'][@moodCode='EVN'][subject1[@typeCode='SUBJ']/adverseEffectReference[@classCode='OBS'][@moodCode='EVN']/id[@root='UUID of i-th reaction']][subject2[@typeCode='SUBJ']/productUseReference[@classCode='SBADM'][@moodCode='EVN']/id[@root='UUID of k-th drag']]/author[@typeCode='AUT'][1]/assignedEntity[@classCode='ASSIGNED']/code/originalText/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-,,"Optional, if Pre-ANDA Number where AE Occurred (FDA.C.5.5b) is provided",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,G.k.9.i,G.k.9.i.2.r.2,Method of Assessment,60,AN,Free text,Optional,,-,-,Conditional-Required,"Default Method of Assessment (G.k.9.i.2.r.2) to “FDA” to differentiate from other assessment methods.

Required, if Element Value for Type of Report (C.1.3) is 2 (=Report from study) and IND Number where AE Occurred (FDA.C.5.5a) is provided",,,,,,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,-,,,/MCCI_IN200100UV01[@ITSVersion='XML_1.0' ][@xsi:schemaLocation='urn:hl7-org:v3 MCCI_IN200100UV01.xsd']/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment][1]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][causalityAssessment/code[@code='39'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.19']][r]/causalityAssessment[@classCode='OBS'][@moodCode='EVN'][subject1[@typeCode='SUBJ']/adverseEffectReference[@classCode='OBS'][@moodCode='EVN']/id[@root='UUID of i-th reaction']][subject2[@typeCode='SUBJ']/productUseReference[@classCode='SBADM'][@moodCode='EVN']/id[@root='UUID of k-th drag']]/methodCode[1]/originalText/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-,,"Optional, if Pre-ANDA Number where AE Occurred (FDA.C.5.5b) is provided",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,G.k.9.i,G.k.9.i.2.r.3 ,Result of Assessment,60,AN,Free text,Optional,,-,-,Conditional-Required,"For IND Safety Reports, at least one suspect product should have relatedness of drug to reaction/event

For Result of Assessment (G.k.9.i.2.r.3) use the value """"Suspected"""" or """"Not Suspected""""""

Required, if Element Value for Type of Report (C.1.3) is 2 (=Report from study) and IND Number where AE Occurred (FDA.C.5.5a) is provided",,,,,,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,-,,,/MCCI_IN200100UV01[@ITSVersion='XML_1.0' ][@xsi:schemaLocation='urn:hl7-org:v3 MCCI_IN200100UV01.xsd']/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment][1]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][causalityAssessment/code[@code='39'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.19']][r]/causalityAssessment[@classCode='OBS'][@moodCode='EVN'][subject1[@typeCode='SUBJ']/adverseEffectReference[@classCode='OBS'][@moodCode='EVN']/id[@root='UUID of i-th reaction']][subject2[@typeCode='SUBJ']/productUseReference[@classCode='SBADM'][@moodCode='EVN']/id[@root='UUID of k-th drag']]/value[@xsi:type='ST']/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-,,"Optional, if Pre-ANDA Number where AE Occurred (FDA.C.5.5b) is provided",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,G.k.9.i,G.k.9.i.3.1a ,Time Interval between Beginning of Drug Administration and Start of Reaction / Event (number),5,N,Numeric,Conditional-Required,"Optional, but required if G.k.9.i.3.1b is populated.",-,-,-,-,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,-,,,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment][1]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/subject1[@typeCode='SBJ'][1]/primaryRole[@classCode='INVSBJ']/subjectOf2[@typeCode='SBJ']/organizer[@classCode='CATEGORY'][@moodCode='EVN'][code[@code='4'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.20']][1]/component[@typeCode='COMP'][substanceAdministration/id][k]/substanceAdministration[@classCode='SBADM'][@moodCode='EVN']/outboundRelationship1[@typeCode='SAS'][actReference[@classCode='OBS'][@moodCode='EVN']/id[@root='UUID of i-th reaction']]/pauseQuantity/@value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,G.k.9.i,G.k.9.i.3.1b ,Time Interval between Beginning of Drug Administration and Start of Reaction / Event (unit),50,AN,"UCUM code: s(Second), min (Minute), h (Hour), d (Day), wk (Week), mo (Month), a (Year)",Conditional-Required,"Optional, but required if G.k.9.i.3.1a is populated.",-,-,-,-,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,-,,,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment][1]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/subject1[@typeCode='SBJ'][1]/primaryRole[@classCode='INVSBJ']/subjectOf2[@typeCode='SBJ']/organizer[@classCode='CATEGORY'][@moodCode='EVN'][code[@code='4'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.20']][1]/component[@typeCode='COMP'][substanceAdministration/id][k]/substanceAdministration[@classCode='SBADM'][@moodCode='EVN']/outboundRelationship1[@typeCode='SAS'][actReference[@classCode='OBS'][@moodCode='EVN']/id[@root='UUID of i-th reaction']]/pauseQuantity/@unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,G.k.9.i,G.k.9.i.3.2a ,Time Interval between Last Dose of Drug and Start of Reaction / Event (number),5,N,Numeric,Conditional-Required,"Optional, but required if G.k.9.i.3.2b is populated.",-,-,-,-,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,-,,,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment][1]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/subject1[@typeCode='SBJ'][1]/primaryRole[@classCode='INVSBJ']/subjectOf2[@typeCode='SBJ']/organizer[@classCode='CATEGORY'][@moodCode='EVN'][code[@code='4'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.20']][1]/component[@typeCode='COMP'][substanceAdministration/id][k]/substanceAdministration[@classCode='SBADM'][@moodCode='EVN']/outboundRelationship1[@typeCode='SAE'][actReference[@classCode='OBS'][@moodCode='EVN']/id[@root='UUID of i-th reaction']]/pauseQuantity/@value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,G.k.9.i,G.k.9.i.3.2b ,Time Interval between Last Dose of Drug and Start of Reaction / Event (unit),50,AN,"UCUM code: s(Second), min (Minute), h (Hour), d (Day), wk (Week), mo (Month), a (Year)",Conditional-Required,"Optional, but required if G.k.9.i.3.2a is populated.",-,-,-,-,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,-,,,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment][1]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/subject1[@typeCode='SBJ'][1]/primaryRole[@classCode='INVSBJ']/subjectOf2[@typeCode='SBJ']/organizer[@classCode='CATEGORY'][@moodCode='EVN'][code[@code='4'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.20']][1]/component[@typeCode='COMP'][substanceAdministration/id][k]/substanceAdministration[@classCode='SBADM'][@moodCode='EVN']/outboundRelationship1[@typeCode='SAE'][actReference[@classCode='OBS'][@moodCode='EVN']/id[@root='UUID of i-th reaction']]/pauseQuantity/@unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,G.k.9.i,G.k.9.i.4 ,Did Reaction Recur on Re-administration?,1,N,"1=yes - yes (rechallenge was done, reaction reccurred)  
2=yes - no (rechallenge was done, reaction did not recur)   
3=yes - unk (rechallenge was done, outcome unknown)  
4=no - n/a (no rechallenge was done, recurrance is not applicable)",Optional,"If the sender does not know whether a rechallenge was performed, this data element should not be transmitted.",-,-,-,-,,,,,,Conforms with ICH business rules,"4.9 (026), 
4.16 (036)",No,No,No,No,No,No,No,No,No,"2.16.840.1.113883.3.989.2.1.1.19
2.16.840.1.113883.3.989.2.1.1.16",,,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment][1]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/subject1[@typeCode='SBJ'][1]/primaryRole[@classCode='INVSBJ']/subjectOf2[@typeCode='SBJ']/organizer[@classCode='CATEGORY'][@moodCode='EVN'][code[@code='4'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.20']][1]/component[@typeCode='COMP'][substanceAdministration/id][k]/substanceAdministration[@classCode='SBADM'][@moodCode='EVN']/outboundRelationship2[@typeCode='PERT'][observation/code[@code='31'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.19']]/observation[@classCode='OBS'][@moodCode='EVN'][outboundRelationship1[@typeCode='REFR']/actReference[@classCode='OBS'][@moodCode='EVN']/id[@root='UUID of i-th reaction']]/value[@xsi:type='CE'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.16'][1]/@code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,G.k ,G.k.10.r ,Additional Information on Drug (coded) (repeat as necessary),2,N,"1=Counterfeit  
2=Overdose  
3=Drug taken by the father  
4=Drug taken beyond expiry date  
5=Batch and lot tested and found within specifications  
6=Batch and lot tested and found not within specifications  
7=Medication error  
8=Misuse  
9=Abuse  
10=Occupational exposure  
11=Off label use",Optional,,-,-,-,-,,,,,,Conforms with ICH business rules,4.10 (027),No,No,No,No,No,No,No,No,No,"2.16.840.1.113883.3.989.2.1.1.19
2.16.840.1.113883.3.989.2.1.1.17
",,,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment][1]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/subject1[@typeCode='SBJ'][1]/primaryRole[@classCode='INVSBJ']/subjectOf2[@typeCode='SBJ'][organizer/code[@code='4'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.20']][1]/organizer[@classCode='CATEGORY'][@moodCode='EVN']/component[@typeCode='COMP'][substanceAdministration/id][k]/substanceAdministration[@classCode='SBADM'][@moodCode='EVN']/outboundRelationship2[@typeCode='REFR'][observation/code[@code='9'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.19']][r]/observation[@classCode='OBS'][@moodCode='EVN']/value[@xsi:type='CE'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.17'][1]/@code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDA,G.k,FDA.G.k.10a,FDA Additional Information on Drug (coded),2,N,"1=Test
2=Reference
3=Bulk ingredient
4=Bulk Ingredient For Human Prescription Compounding
5=Unapproved Drug Product Manufactured Exclusively for Private Label Distributer
nullFlavor: NA",-,-,Optional,-,Conditional-Required,"The rule is applicable only for IND-Exempt BA/BE study. If Pre-ANDA Number where AE Occurred (FDA.C.5.5b) is present, then the Observation Code: (Value allowed: 1, 2) must be used to describe the drug’s role in the IND-Exempt BA/BE study. Use nullFlavor 'NA' for all other drugs or if information is not available.",,,,,,FDA regional data element,,No,No,No,Yes,No,No,No,No,No,2.16.840.1.113883.3.989.5.1.2.1.1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDA,G.k,FDA.G.k.10.1,FDA Specialized Product Category,10,AN,"<Observation><code>= C94031
C102834=Type 1: Convenience Kit of Co-Package 
C102835=Type 2: Prefilled Drug Delivery Device/System (syringe, patch, etc.) 
C102836=Type 3: Prefilled Biologic Delivery Device/System (syringe, patch, etc.) 
C102837=Type 4: Device Coated/Impregnated/Otherwise Combined with Drug 
C102838=Type 5: Device Coated or Otherwise Combined with Biologic 
C102839=Type 6: Drug/Biologic Combination 
C102840=Type 7: Separate Products Requiring Cross Labeling 
C102841=Type 8: Possible Combination Based on Cross Labeling of Separate Products (Temporary Type) 
C102842=Type 9: Other Type of Part 3 Combination Product (e.g., Drug/Device/Biological Product) ",-,-,Optional,-,-,-,,,,Optional,"Optional data element; however, if used FDA values must be valid SPL codes.  Data element is needed to determine whether the product is a combination product or compounded product ",FDA regional data element,,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.26.1.1,,,"/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ']/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/
component[@typeCode='COMP'][adverseEventAssessment]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/subject1[@typeCode='SBJ']/primaryRole[@classCode='INVSBJ']/
subjectOf2[@typeCode='SBJ'][organizer[organizer/code[@code='4'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.20']]/organizer[@classCode='CATEGORY'][@moodCode='EVN']/
component[@typeCode='COMP'][substanceAdministration/id][k]/substanceAdministration[@classCode='SBADM'][@moodCode='EVN']/consumable[@typeCode=’CSM’]/
instanceOfKind[@classCode=’INST’]/kindOfProduct[@classCode=’MMAT’][@determinerCode=’KIND’]/asManufacturedProduct[@classCode=’MANU’]/subjectOf[@typeCode=’SBJ’]/characteristic[@classCode=’OBS’][@moodCode=’EVN’][code[@code=C94031’][@codeSystem=’2.16.840.1.113883.3.26.1.1’]/value[@codeSystem=’2.16.840.1.113883.3.26.1.1’]/@code
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,G.k ,G.k.11 ,Additional Information on Drug (free text),2000,AN,Free Text,Optional,"If provided, this element needs to be separated and independent from any value selected in the code list for G.k.10.r",-,-,-,-,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,FDA.G.k.12.r,(Header),Device Information (repeat as necessary),-,-,-,-,-,-,-,-,-,,-,,,,-,,-,-,-,-,-,-,-,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDA,FDA.G.k.12.r,FDA.G.k.12.r.1,Malfunction,-,Boolean,"<Observation><code>= C54026.  
true, false",-,-,Conditional-Required,"If Local Criteria Report Type (FDA.C.1.7.1) = 5, then Malfunction (FDA.G.k.12.r.1) must be 'true' for at least one suspect product",-,-,,,"<Observation><code>= C54026.  
true, false",Conditional-Mandatory,"This field must be set to true for at least one suspect product per ICSR, when C.1.7.1 Local Criteria Report Type = Malfunction Only (No AE)",FDA regional data element,,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.26.1.1,,,"/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ']/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/subject1[@typeCode='SBJ']/primaryRole[@classCode='INVSBJ']/subjectOf2[@typeCode='SBJ'][organizer/code[@code='4'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.20']]/organizer[@classCode='CATEGORY'][@moodCode='EVN']/component[@typeCode='COMP'][substanceAdministration/id][k]/substanceAdministration[@classCode='SBADM'][@moodCode='EVN']/consumable[@typeCode='CSM']/instanceOfKind[@classCode='INST']/kindOfProduct[@classCode='MMAT'][@determinerCode='KIND']/part[r]/partProduct/asManufacturedProduct[classCode=""MANU""]/subjectOf[typeCode=""SBJ""][characteristic/code[@code='9C54026'][@codeSystem='2.16.840.1.113883.3.989.5.1.2.2.1.2']/characteristic[classCode=""OBS""][moodCode=""EVN""]/value[@xsi:type=""BL""/@value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
